200000	200000	7141	51	4485.54	4443.25
234655	203242	7239	52	4549.96	4513.27
260369	206480	7347	53	4619.03	4558.16
287769	210483	7523	54	4727.52	4701.55
486412	210937	7535	55	4736.23	4696.86
490581	215106	7649	56	4806.51	4779.26
657222	220106	7689	57	4830.03	4810.47
721697	224828	8329	58	5399.96	5056.18
826434	229828	8353	59	5418.44	5116.09
1065822	234347	8511	60	5508.73	5396.17
1340793	239347	8644	61	5590.40	5563.13
1516116	244347	8958	62	5764.42	5722.57
1547982	249347	9135	63	5870.56	5690.62
1587212	251600	9219	64	5925.13	5850.20
1734805	256600	9536	65	6130.06	6039.94
1808574	261600	9930	66	6348.02	6038.35
1881340	266600	9945	67	6357.95	6259.02
1940195	271600	9952	68	6363.48	6351.66
2299165	273985	9980	69	6380.97	6338.96
2460009	278985	10156	70	6532.85	6495.10
2625782	280552	10204	71	6562.03	6553.93
2655220	282847	10318	72	6637.39	6606.54
2706690	287847	10540	73	6765.32	6745.82
2798637	292847	10581	74	6792.30	6816.26
