200000	200000	6891	49	4248.67	4203.37
214617	205000	7074	50	4351.28	4314.91
249676	207384	7190	51	4421.28	4383.90
278750	212232	7412	52	4553.66	4502.22
283638	215067	7526	53	4631.02	4621.21
427588	220067	7545	54	4643.15	4613.51
457171	223949	7675	55	4723.60	4690.39
461667	228445	7819	56	4815.22	4771.56
471667	233445	7929	57	4887.17	4843.11
476667	238445	8140	58	5018.31	4988.85
479132	240910	8214	59	5068.70	5037.00
596062	245910	8365	60	5200.47	5174.58
634055	249764	8499	61	5291.36	5252.40
722841	254764	8694	62	5433.21	5356.53
743375	256865	8794	63	5507.04	5464.46
756641	261865	8974	64	5619.53	5604.61
799416	265726	9158	65	5738.74	5674.44
944087	270726	9334	66	5894.78	5860.78
1059978	272093	9406	67	5951.00	5885.14
1086740	277093	9604	68	6070.75	6018.28
1104062	279431	9688	69	6128.02	6072.66
1138967	282758	9798	70	6209.28	6163.08
1334827	287758	10949	71	6843.91	6816.94
1343579	292758	11149	72	6968.07	6949.42
1366677	296922	11323	73	7068.54	7041.07
1485087	301922	11376	74	7099.34	7072.09
1494099	304162	11458	75	7152.73	7130.88
