200000	200000	6969	51	4344.21	4281.58
206748	204710	7169	52	4470.75	4416.40
211748	209710	7360	53	4583.59	4532.64
215928	213890	7518	54	4683.58	4620.94
228919	216881	7646	55	4762.25	4770.80
241047	221881	7799	56	4857.12	4821.45
307645	226881	10303	57	6234.41	5708.12
330427	228696	10379	58	6295.60	5774.97
343946	232461	10477	59	6358.10	5859.77
392218	237461	13352	60	7941.81	6888.06
411012	241752	13514	61	8046.47	8061.36
419725	245465	13656	62	8135.60	8163.82
432220	250465	13808	63	8231.32	8280.63
440720	255387	13980	64	8343.16	8300.56
445720	260387	14134	65	8432.07	8399.66
494781	265387	14355	66	8567.22	8534.69
577721	270387	16006	67	9555.01	9530.19
630427	275387	16490	68	9931.53	8544.24
711312	278208	17770	69	11075.52	8865.16
796320	283208	18114	70	11266.72	9649.89
815838	288208	18162	71	11296.70	9685.33
820838	293208	18395	72	11429.44	10501.30
826129	298208	18563	73	11526.03	10819.89
838440	301146	18691	74	11627.57	10293.36
851777	304712	18797	75	11694.61	11712.11
875321	306573	18883	76	11760.61	11047.49
901284	309918	18993	77	11830.54	11283.73
911284	314918	19209	78	11982.50	10579.03
2659734	319918	21352	79	13162.73	11327.33
