200000	200000	7183	50	4476.41	4475.34
213975	203975	7317	51	4558.98	4508.53
218329	208329	7461	52	4644.36	4623.01
244464	212873	7661	53	4766.73	4723.31
261001	214929	7733	54	4814.64	4774.58
270294	219222	7865	55	4893.42	4867.99
476776	219417	7951	56	4967.73	4972.07
490944	222197	8039	57	5021.65	4977.65
532218	227197	8226	58	5148.08	5103.56
542218	232197	8402	59	5265.75	5292.89
557156	237135	8556	60	5363.55	5342.71
564180	242135	8728	61	5468.17	5450.58
568283	246238	8912	62	5607.18	5567.68
593519	250824	9092	63	5717.18	5665.07
629021	255824	9270	64	5820.94	5794.53
