200000	200000	7022	50	4354.37	4323.63
263711	205000	10963	51	6521.27	4327.92
294574	209450	11149	52	6652.44	4475.04
423357	214450	11445	53	6881.35	4791.81
433357	219450	11656	54	7021.33	4880.48
461225	224450	11836	55	7126.88	7123.23
477604	225333	11870	56	7153.91	5068.40
763263	230333	11910	57	7179.10	6544.10
773701	233474	12026	58	7260.80	6636.75
818748	238474	12055	59	7279.51	6515.87
843879	243474	12222	60	7404.34	6661.78
852501	247096	12350	61	7485.24	6760.52
872501	252096	12480	62	7558.88	7529.87
884363	254834	12594	63	7635.17	7601.99
