200000	200000	6914	46	4174.66	4133.32
217547	202263	6964	47	4207.71	4155.99
222547	207263	7146	48	4320.89	4275.51
224789	209505	7200	49	4368.11	4322.30
232053	212883	7326	50	4449.84	4405.25
254737	217883	7495	51	4556.43	4517.43
262309	220607	7597	52	4629.28	4604.41
404222	221318	7637	53	4659.69	4622.97
408749	225845	7797	54	4769.79	4742.54
417247	230845	8000	55	4892.29	4868.78
453447	235845	8155	56	4981.88	4959.18
456608	239006	8291	57	5069.10	5032.29
604921	242393	8381	58	5143.53	5119.67
744374	247393	10281	59	6192.91	5775.72
770355	252393	10446	60	6294.53	5884.20
909049	257393	11232	61	6937.44	6522.66
1047405	261292	11628	62	7232.64	6672.02
